episode,reward,length,scanned_cells,timestep
480,-30.10,1,20,480
481,-30.10,1,19,481
482,-30.10,1,19,482
483,-30.10,1,19,483
484,-30.10,1,19,484
485,-30.10,1,19,485
486,-30.10,1,19,486
487,-30.10,1,19,487
488,-30.10,1,19,488
489,-30.10,1,19,489
490,-30.10,1,19,490
491,-30.10,1,19,491
492,-30.10,1,19,492
493,-30.10,1,19,493
494,-20.10,1,20,494
495,-20.10,1,20,495
496,-20.10,1,20,496
497,-30.10,1,20,497
498,-30.10,1,20,498
499,-30.10,1,20,499
500,-30.10,1,20,500
501,-30.10,1,20,501
502,-30.10,1,20,502
503,-30.10,1,20,503
504,-30.10,1,20,504
505,-30.10,1,20,505
506,-30.10,1,20,506
507,-30.10,1,20,507
508,-30.10,1,20,508
509,-30.10,1,20,509
510,-30.10,1,20,510
511,-30.10,1,20,511
512,-30.10,1,20,512
513,-30.10,1,20,513
514,-30.10,1,20,514
515,-30.10,1,20,515
516,-30.10,1,20,516
517,-30.10,1,20,517
518,-30.10,1,20,518
519,-30.10,1,20,519
520,-30.10,1,20,520
521,-30.10,1,20,521
522,-30.10,1,20,522
523,-30.10,1,20,523
524,-30.10,1,20,524
525,-30.10,1,20,525
526,-30.10,1,20,526
527,-30.10,1,20,527
528,-30.10,1,20,528
529,-30.10,1,20,529
530,-30.10,1,20,530
531,-30.10,1,20,531
532,-30.10,1,20,532
533,-30.10,1,20,533
534,-30.10,1,20,534
535,-30.10,1,20,535
536,-30.10,1,20,536
537,-30.10,1,20,537
538,-30.10,1,20,538
539,-30.10,1,20,539
540,-30.10,1,20,540
541,-10.10,1,22,541
542,-10.10,1,22,542
543,-10.10,1,22,543
544,-30.10,1,22,544
545,-30.10,1,22,545
546,-30.10,1,22,546
547,-30.10,1,22,547
548,-30.10,1,22,548
549,-30.10,1,22,549
550,-30.10,1,22,550
551,-30.10,1,22,551
552,-30.10,1,22,552
553,-30.10,1,22,553
554,-30.10,1,22,554
555,-30.10,1,22,555
